function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
205;libc.so.6;putenv;;39.971466064453;5.6199998855591;0;0;0;0;0;39.971466064453;5.6199998855591;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";putenv;;
788;libc.so.6;timer_settime;;17.140787124634;2.4099998474121;0;0;0;0;0;17.140787124634;2.4099998474121;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";timer_settime;;
309;libc.so.6;strtof;;8.7482042312622;1.2300001382828;0;0;0;0;0;8.7482042312622;1.2300001382828;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";strtof;;
379;libc.so.6;__vfscanf;;8.3570222854614;1.174999833107;0;0;0;0;0;8.3570222854614;1.174999833107;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";__vfscanf;;
789;libc.so.6;__default_morecore;;6.4366850852966;0.90499979257584;0;0;0;0;0;6.4366850852966;0.90499979257584;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";__default_morecore;;
355;libc.so.6;parse_printf_format;;3.7695508003235;0.52999997138977;0;0;0;0;0;3.7695508003235;0.52999997138977;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";parse_printf_format;;
928;libc.so.6;__xpg_strerror_r;;3.1650006771088;0.44500005245209;0;0;0;0;0;3.1650006771088;0.44500005245209;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";__xpg_strerror_r;;
0;Unknown module;unknown_function;;3.058315038681;0.43000000715256;0;0;0;0;0;3.058315038681;0.43000000715256;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";Unknown function;;
330;libc.so.6;__xpg_basename;;2.8093819618225;0.39499995112419;0;0;0;0;0;2.8093819618225;0.39499995112419;0;0;0;0;0;;"0,0,0,0,100,0,0,0,0,0";__xpg_basename;;
791;libc.so.6;__libc_free;;0.81792134046555;0.11499999463558;0;0;0;0;0;0.81792134046555;0.11499999463558;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_free;;
790;libc.so.6;__libc_malloc;;0.64011234045029;0.089999988675117;0;0;0;0;0;0.64011234045029;0.089999988675117;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_malloc;;
555;libc.so.6;_IO_sputbackc;;0.60455054044724;0.084999985992908;0;0;0;0;0;0.60455054044724;0.084999985992908;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_sputbackc;;
378;libc.so.6;_IO_vfprintf;;0.60455054044724;0.084999985992908;0;0;0;0;0;0.60455054044724;0.084999985992908;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_vfprintf;;
598;libc.so.6;__nptl_death_event;;0.56898880004883;0.07999999076128;0;0;0;0;0;0.56898880004883;0.07999999076128;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0";__nptl_death_event;;
879;libc.so.6;strchrnul;;0.53342700004578;0.074999995529652;0;0;0;0;0;0.53342700004578;0.074999995529652;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";strchrnul;;
792;libc.so.6;__libc_realloc;;0.53342700004578;0.074999995529652;0;0;0;0;0;0.53342700004578;0.074999995529652;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_realloc;;
397;libc.so.6;_IO_getline_info;;0.35561800003052;0.049999997019768;0;0;0;0;0;0.35561800003052;0.049999997019768;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_getline_info;;
573;libc.so.6;_IO_list_resetlock;;0.32005617022514;0.044999994337559;0;0;0;0;0;0.32005617022514;0.044999994337559;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_list_resetlock;;
552;libc.so.6;_IO_enable_locks;;0.32005617022514;0.044999994337559;0;0;0;0;0;0.32005617022514;0.044999994337559;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_enable_locks;;
388;libc.so.6;_IO_fgets;;0.2489325851202;0.034999996423721;0;0;0;0;0;0.2489325851202;0.034999996423721;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_fgets;;
350;libc.so.6;__isoc99_sscanf;;0.2489325851202;0.034999996423721;0;0;0;0;0;0.2489325851202;0.034999996423721;0;0;0;0;0;;"0,0,0,0,0,0,0,100,0,0";__isoc99_sscanf;;
545;libc.so.6;_IO_setb;;0.21337078511715;0.029999995604157;0;0;0;0;0;0.21337078511715;0.029999995604157;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";_IO_setb;;
218;libc.so.6;random_r;;0.10668539255857;0.014999997802079;0;0;0;0;0;0.10668539255857;0.014999997802079;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";random_r;;
1649;libc.so.6;__memcpy_chk;;0.071123600006104;0.00999999884516;0;0;0;0;0;0.071123600006104;0.00999999884516;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__memcpy_chk;;
1635;libc.so.6;__fprintf_chk;;0.071123600006104;0.00999999884516;0;0;0;0;0;0.071123600006104;0.00999999884516;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";__fprintf_chk;;
214;libc.so.6;random;;0.071123600006104;0.00999999884516;0;0;0;0;0;0.071123600006104;0.00999999884516;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";random;;
-1;libc.so.6;unknown_function;;0.071123600006104;0.00999999884516;0;0;0;0;0;0;0;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";Unknown function;;
1473;libc.so.6;mremap;;0.035561800003052;0.00499999942258;0;0;0;0;0;0.035561800003052;0.00499999942258;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";mremap;;
1258;libc.so.6;__read;;0.035561800003052;0.00499999942258;0;0;0;0;0;0.035561800003052;0.00499999942258;0;0;0;0;0;;"0,0,0,0,0,0,100,0,0,0";__read;;
589;libc.so.6;__libc_alloca_cutoff;;0.035561800003052;0.00499999942258;0;0;0;0;0;0.035561800003052;0.00499999942258;0;0;0;0;0;;"0,0,0,0,0,0,0,0,100,0";__libc_alloca_cutoff;;
209;libc.so.6;rand;;0.035561800003052;0.00499999942258;0;0;0;0;0;0.035561800003052;0.00499999942258;0;0;0;0;0;;"0,0,0,0,0,0,0,0,0,100";rand;;
